epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.8245	0.6538	0.7043	0.6862	0.6675	0.7221
2	0.6895	0.6837	0.7616	0.7061	0.6545	0.7162
3	0.6221	0.7272	0.7978	0.7053	0.6344	0.7170
4	0.5870	0.7326	0.8145	0.6862	0.6403	0.6913
5	0.5321	0.7501	0.8365	0.6865	0.6392	0.6834
6	0.5171	0.7514	0.8421	0.7004	0.6521	0.7165
7	0.4792	0.7807	0.8630	0.6867	0.6521	0.7099
8	0.4584	0.7912	0.8701	0.6885	0.6910	0.7460
9	0.4478	0.7925	0.8742	0.6769	0.6616	0.7256
10	0.4222	0.7993	0.8864	0.6911	0.6651	0.7170
11	0.4053	0.8067	0.8941	0.6865	0.6557	0.7244
12	0.3952	0.8121	0.8999	0.6865	0.6627	0.7253
13	0.3832	0.8148	0.9064	0.6912	0.6580	0.7242
14	0.3796	0.8232	0.9087	0.6870	0.6580	0.7203
15	0.3712	0.8292	0.9137	0.6873	0.6592	0.7218
