epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.9836	0.5526	0.5826	0.6924	0.5943	0.6666
2	0.7884	0.6076	0.6613	0.6878	0.6533	0.7121
3	0.7527	0.6357	0.6820	0.7083	0.6427	0.7173
4	0.7316	0.6447	0.7082	0.7251	0.6285	0.7162
5	0.6564	0.6677	0.7341	0.7137	0.6333	0.7035
6	0.6144	0.6865	0.7561	0.6911	0.6686	0.7117
7	0.5993	0.6886	0.7653	0.7115	0.6439	0.7037
8	0.5601	0.7106	0.7937	0.7024	0.6380	0.6699
9	0.5193	0.7275	0.8184	0.6988	0.6557	0.7212
10	0.5067	0.7419	0.8278	0.6937	0.6144	0.6669
11	0.4921	0.7477	0.8364	0.6944	0.6250	0.6774
12	0.4749	0.7624	0.8493	0.6969	0.6474	0.7086
13	0.4622	0.7696	0.8597	0.6922	0.6533	0.7030
14	0.4569	0.7736	0.8643	0.6947	0.6604	0.7068
15	0.4520	0.7811	0.8695	0.6957	0.6592	0.7080
