epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.8789	0.5770	0.5902	0.7116	0.5920	0.6321
2	0.7968	0.6130	0.6475	0.7051	0.6156	0.6599
3	0.7641	0.6309	0.6693	0.7036	0.6061	0.6582
4	0.7534	0.6356	0.6761	0.7009	0.6215	0.6686
5	0.7328	0.6467	0.6845	0.7022	0.6132	0.6736
6	0.7233	0.6494	0.6895	0.6994	0.6179	0.6749
7	0.7195	0.6507	0.6920	0.7007	0.6156	0.6778
8	0.7181	0.6511	0.6941	0.7010	0.6156	0.6776
9	0.7136	0.6541	0.6950	0.7008	0.6144	0.6784
10	0.7202	0.6531	0.6958	0.7008	0.6108	0.6781
11	0.7125	0.6517	0.6967	0.7003	0.6167	0.6782
12	0.7098	0.6551	0.6969	0.7006	0.6167	0.6777
13	0.7091	0.6551	0.6975	0.7004	0.6144	0.6785
14	0.7094	0.6561	0.6974	0.7005	0.6120	0.6780
15	0.7091	0.6551	0.6975	0.7004	0.6132	0.6783
