epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.8682	0.5364	0.5521	0.7104	0.5955	0.6539
2	0.8048	0.5630	0.5885	0.7067	0.6120	0.6820
3	0.7836	0.5770	0.6020	0.6996	0.6297	0.6867
4	0.7706	0.5860	0.6122	0.6980	0.6462	0.6953
5	0.7639	0.5907	0.6186	0.6981	0.6439	0.6978
6	0.7589	0.5922	0.6230	0.6982	0.6486	0.7010
7	0.7519	0.6004	0.6274	0.6991	0.6509	0.7057
8	0.7498	0.6030	0.6285	0.6979	0.6450	0.7020
9	0.7495	0.6008	0.6286	0.6986	0.6533	0.7056
10	0.7472	0.5983	0.6298	0.6984	0.6521	0.7053
11	0.7455	0.6022	0.6315	0.6980	0.6533	0.7044
12	0.7464	0.6019	0.6314	0.6984	0.6533	0.7044
13	0.7453	0.6012	0.6322	0.6983	0.6557	0.7038
14	0.7442	0.6008	0.6323	0.6983	0.6545	0.7040
15	0.7433	0.6033	0.6322	0.6983	0.6521	0.7040
