epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.8699	0.6122	0.6509	0.6755	0.6247	0.7145
2	0.7269	0.6643	0.7257	0.6943	0.6435	0.6885
3	0.6666	0.6905	0.7557	0.6952	0.6694	0.7424
4	0.6215	0.7093	0.7806	0.6901	0.6659	0.7350
5	0.5821	0.7268	0.8004	0.6865	0.6412	0.7063
6	0.5359	0.7450	0.8225	0.6809	0.6529	0.7236
7	0.5241	0.7564	0.8267	0.6922	0.6906	0.7378
8	0.5189	0.7527	0.8296	0.6875	0.6847	0.7382
9	0.5146	0.7597	0.8358	0.6854	0.6941	0.7391
10	0.4748	0.7759	0.8546	0.6967	0.6788	0.7290
11	0.4635	0.7799	0.8624	0.6982	0.6600	0.7095
12	0.4654	0.7843	0.8601	0.6849	0.6800	0.7305
13	0.4496	0.7947	0.8712	0.6822	0.6729	0.7307
14	0.4375	0.7964	0.8780	0.6835	0.6847	0.7299
15	0.4329	0.8051	0.8811	0.6834	0.6800	0.7286
