epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	1.0162	0.5314	0.5423	0.7094	0.6071	0.6686
2	0.8398	0.5861	0.6246	0.6913	0.5718	0.6462
3	0.7769	0.5986	0.6363	0.7131	0.6259	0.6630
4	0.6967	0.6291	0.6879	0.6985	0.6012	0.6634
5	0.6903	0.6368	0.7001	0.6938	0.5835	0.6428
6	0.6578	0.6530	0.7128	0.6971	0.6329	0.6687
7	0.6533	0.6584	0.7251	0.7485	0.5624	0.6297
8	0.6472	0.6676	0.7307	0.7238	0.5835	0.6293
9	0.5873	0.6976	0.7674	0.7039	0.6235	0.6600
10	0.5632	0.7051	0.7827	0.7100	0.6365	0.6769
11	0.5532	0.7115	0.7884	0.7035	0.6247	0.6635
12	0.5272	0.7223	0.8104	0.7007	0.6082	0.6580
13	0.5108	0.7389	0.8245	0.7065	0.6212	0.6621
14	0.5012	0.7547	0.8340	0.7076	0.6235	0.6586
15	0.4959	0.7574	0.8403	0.7062	0.6165	0.6583
