epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	1.0524	0.5292	0.5410	0.7377	0.5376	0.5500
2	0.8188	0.5853	0.6054	0.7252	0.5553	0.5818
3	0.7718	0.6028	0.6318	0.7233	0.5718	0.5987
4	0.7501	0.6099	0.6438	0.7210	0.5765	0.6077
5	0.7353	0.6156	0.6524	0.7199	0.5812	0.6142
6	0.7273	0.6166	0.6574	0.7165	0.5835	0.6188
7	0.7188	0.6216	0.6631	0.7162	0.5824	0.6136
8	0.7215	0.6190	0.6610	0.7144	0.5847	0.6226
9	0.7157	0.6247	0.6653	0.7149	0.5859	0.6234
10	0.7145	0.6243	0.6673	0.7148	0.5835	0.6234
11	0.7134	0.6270	0.6679	0.7147	0.5894	0.6248
12	0.7128	0.6267	0.6682	0.7144	0.5859	0.6246
13	0.7124	0.6287	0.6686	0.7150	0.5871	0.6242
14	0.7109	0.6294	0.6697	0.7147	0.5906	0.6248
15	0.7113	0.6280	0.6693	0.7145	0.5894	0.6256
