epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.8591	0.5030	0.5093	0.7227	0.5447	0.5686
2	0.8131	0.5166	0.5280	0.7191	0.5424	0.5890
3	0.7913	0.5294	0.5399	0.7176	0.5682	0.6066
4	0.7793	0.5399	0.5521	0.7177	0.5812	0.6158
5	0.7705	0.5486	0.5592	0.7142	0.5835	0.6241
6	0.7630	0.5581	0.5666	0.7174	0.6012	0.6273
7	0.7601	0.5571	0.5685	0.7122	0.5871	0.6300
8	0.7579	0.5608	0.5694	0.7149	0.5976	0.6332
9	0.7551	0.5632	0.5722	0.7158	0.6012	0.6336
10	0.7539	0.5601	0.5736	0.7148	0.6000	0.6340
11	0.7528	0.5625	0.5741	0.7137	0.5976	0.6347
12	0.7521	0.5652	0.5748	0.7137	0.6000	0.6349
13	0.7517	0.5655	0.5751	0.7139	0.5988	0.6351
14	0.7520	0.5625	0.5749	0.7138	0.6035	0.6359
15	0.7515	0.5642	0.5753	0.7139	0.5976	0.6355
