epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7915	0.6896	0.7440	0.7055	0.7082	0.7636
2	0.6618	0.7293	0.8015	0.6774	0.7541	0.8266
3	0.6037	0.7525	0.8241	0.6733	0.7282	0.8023
4	0.5476	0.7751	0.8440	0.6752	0.7424	0.8067
5	0.5192	0.7737	0.8555	0.7014	0.7212	0.7911
6	0.5168	0.7771	0.8551	0.6792	0.7459	0.8119
7	0.4637	0.8040	0.8757	0.6946	0.7435	0.8078
8	0.4447	0.8080	0.8834	0.6803	0.7365	0.8005
9	0.4101	0.8198	0.8977	0.6922	0.7165	0.7936
10	0.4144	0.8194	0.8955	0.6804	0.7388	0.8026
11	0.3884	0.8299	0.9056	0.6891	0.7541	0.8060
12	0.3813	0.8325	0.9082	0.6884	0.7447	0.8103
13	0.3758	0.8369	0.9109	0.6820	0.7388	0.8027
14	0.3667	0.8379	0.9149	0.6823	0.7376	0.8037
15	0.3636	0.8423	0.9162	0.6830	0.7412	0.8045
