epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.9854	0.5471	0.5665	0.7491	0.6165	0.6963
2	0.8266	0.6015	0.6428	0.7397	0.6588	0.7450
3	0.7749	0.6161	0.6656	0.7032	0.6965	0.7100
4	0.7375	0.6315	0.6827	0.7400	0.6235	0.7103
5	0.6640	0.6611	0.7280	0.7112	0.6718	0.7093
6	0.6183	0.6709	0.7471	0.7249	0.6647	0.7298
7	0.6160	0.6903	0.7575	0.7314	0.6447	0.6872
8	0.5636	0.7021	0.7824	0.7336	0.6600	0.7194
9	0.5454	0.7244	0.8019	0.7410	0.6353	0.7033
10	0.5330	0.7236	0.8069	0.7229	0.6318	0.6908
11	0.5176	0.7325	0.8185	0.7521	0.6400	0.7186
12	0.5011	0.7480	0.8340	0.7308	0.6518	0.7048
13	0.4897	0.7528	0.8416	0.7283	0.6541	0.7019
14	0.4801	0.7658	0.8519	0.7291	0.6576	0.7037
15	0.4763	0.7679	0.8558	0.7294	0.6588	0.7041
