epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.9411	0.5333	0.5276	0.7606	0.5824	0.5952
2	0.7480	0.6264	0.6481	0.7367	0.6212	0.6555
3	0.6957	0.6601	0.6909	0.7304	0.6400	0.6834
4	0.6730	0.6675	0.7104	0.7270	0.6424	0.6925
5	0.6596	0.6785	0.7200	0.7263	0.6518	0.7026
6	0.6524	0.6785	0.7255	0.7228	0.6529	0.7057
7	0.6473	0.6833	0.7294	0.7223	0.6518	0.7080
8	0.6431	0.6836	0.7323	0.7233	0.6541	0.7111
9	0.6415	0.6866	0.7339	0.7216	0.6541	0.7121
10	0.6405	0.6859	0.7344	0.7226	0.6565	0.7130
11	0.6396	0.6859	0.7350	0.7228	0.6529	0.7129
12	0.6389	0.6876	0.7359	0.7226	0.6553	0.7138
13	0.6389	0.6859	0.7361	0.7225	0.6576	0.7142
14	0.6384	0.6859	0.7362	0.7225	0.6565	0.7139
15	0.6382	0.6859	0.7364	0.7223	0.6553	0.7144
