epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.9880	0.5106	0.5093	0.7507	0.5835	0.6126
2	0.8638	0.5349	0.5443	0.7396	0.6259	0.6547
3	0.8317	0.5394	0.5590	0.7340	0.6329	0.6729
4	0.8142	0.5507	0.5701	0.7367	0.6482	0.6874
5	0.8023	0.5548	0.5793	0.7344	0.6647	0.6934
6	0.7948	0.5584	0.5811	0.7321	0.6612	0.6953
7	0.7892	0.5588	0.5837	0.7312	0.6635	0.6954
8	0.7867	0.5625	0.5853	0.7278	0.6671	0.6959
9	0.7844	0.5613	0.5861	0.7312	0.6635	0.6979
10	0.7822	0.5588	0.5884	0.7309	0.6682	0.6983
11	0.7809	0.5609	0.5886	0.7305	0.6706	0.6987
12	0.7805	0.5588	0.5890	0.7307	0.6671	0.6988
13	0.7797	0.5580	0.5893	0.7306	0.6659	0.6986
14	0.7795	0.5613	0.5896	0.7303	0.6671	0.6993
15	0.7797	0.5609	0.5895	0.7305	0.6682	0.6985
