epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	1.1335	0.4830	0.4713	0.8579	0.4496	0.4622
2	0.8278	0.5877	0.6301	0.8760	0.3579	0.4336
3	0.6504	0.6715	0.7302	0.8184	0.4748	0.4285
4	0.5237	0.7356	0.8215	0.8756	0.3975	0.4445
5	0.4965	0.7618	0.8388	0.8459	0.4388	0.4456
6	0.4526	0.7762	0.8686	0.8913	0.4119	0.4473
7	0.4286	0.7919	0.8818	0.8616	0.4137	0.4218
8	0.4048	0.8063	0.8946	0.8408	0.4496	0.4104
9	0.3198	0.8678	0.9450	0.8749	0.3939	0.4148
10	0.3168	0.8783	0.9449	0.8250	0.4766	0.4319
11	0.2819	0.8927	0.9644	0.8467	0.4371	0.4217
12	0.2719	0.9058	0.9689	0.8348	0.4694	0.4316
13	0.2638	0.9071	0.9729	0.8541	0.4281	0.4268
14	0.2507	0.9188	0.9799	0.8450	0.4514	0.4250
15	0.2460	0.9241	0.9813	0.8442	0.4514	0.4262
