epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	1.0975	0.5123	0.5301	0.7447	0.6313	0.5533
2	0.7728	0.6158	0.6642	0.8179	0.4982	0.5761
3	0.6020	0.7007	0.7742	0.7615	0.6313	0.5741
4	0.5411	0.7340	0.8151	0.8306	0.5234	0.5482
5	0.4616	0.7993	0.8671	0.7663	0.5989	0.5801
6	0.4525	0.7833	0.8693	0.7925	0.5612	0.5758
7	0.3767	0.8374	0.9137	0.7856	0.5953	0.5917
8	0.3349	0.8707	0.9319	0.7843	0.5719	0.5690
9	0.3359	0.8522	0.9322	0.7893	0.5701	0.5888
10	0.3066	0.8744	0.9462	0.7840	0.5809	0.5972
11	0.2847	0.8978	0.9581	0.7743	0.5971	0.6000
12	0.2782	0.8916	0.9595	0.7926	0.5737	0.6007
13	0.2625	0.9126	0.9684	0.7771	0.5989	0.6006
14	0.2608	0.9138	0.9679	0.7791	0.5953	0.5991
15	0.2549	0.9175	0.9704	0.7789	0.5881	0.5990
