epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	1.1693	0.5000	0.4939	0.8216	0.4982	0.4837
2	1.0372	0.5262	0.5097	0.8217	0.4892	0.4816
3	0.9860	0.5223	0.5095	0.8222	0.4910	0.4785
4	0.9602	0.5288	0.5191	0.8256	0.4802	0.4784
5	0.9443	0.5236	0.5243	0.8264	0.4766	0.4787
6	0.9277	0.5327	0.5282	0.8281	0.4730	0.4776
7	0.9180	0.5301	0.5302	0.8295	0.4712	0.4770
8	0.9139	0.5380	0.5332	0.8294	0.4730	0.4776
9	0.9123	0.5419	0.5347	0.8298	0.4730	0.4774
10	0.9046	0.5406	0.5362	0.8296	0.4748	0.4775
11	0.9046	0.5432	0.5371	0.8297	0.4730	0.4781
12	0.9027	0.5419	0.5375	0.8300	0.4748	0.4771
13	0.9044	0.5458	0.5381	0.8301	0.4748	0.4773
14	0.9009	0.5419	0.5382	0.8299	0.4766	0.4777
15	0.8992	0.5380	0.5391	0.8300	0.4748	0.4776
