epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	1.1273	0.4901	0.4819	0.8103	0.5216	0.4689
2	0.9749	0.5074	0.5104	0.8162	0.5036	0.4722
3	0.9207	0.5160	0.5273	0.8181	0.5018	0.4719
4	0.8946	0.5259	0.5357	0.8125	0.5108	0.4727
5	0.8848	0.5394	0.5431	0.8167	0.5054	0.4738
6	0.8682	0.5394	0.5514	0.8161	0.5018	0.4741
7	0.8582	0.5333	0.5550	0.8176	0.5018	0.4756
8	0.8538	0.5369	0.5590	0.8185	0.4982	0.4757
9	0.8486	0.5394	0.5609	0.8194	0.5018	0.4754
10	0.8445	0.5369	0.5627	0.8191	0.5000	0.4751
11	0.8419	0.5394	0.5638	0.8190	0.5018	0.4761
12	0.8388	0.5369	0.5648	0.8190	0.4982	0.4759
13	0.8398	0.5369	0.5644	0.8188	0.5018	0.4765
14	0.8385	0.5357	0.5656	0.8191	0.5018	0.4758
15	0.8381	0.5369	0.5652	0.8191	0.5000	0.4759
