epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6926	0.5238	0.5256	0.7222	0.5755	0.6019
2	0.6466	0.6266	0.6712	0.6963	0.6373	0.6922
3	0.5935	0.6903	0.7457	0.6849	0.6195	0.6923
4	0.5619	0.7202	0.7817	0.6825	0.6397	0.6995
5	0.5379	0.7403	0.8040	0.6860	0.6421	0.7021
6	0.5224	0.7600	0.8157	0.6831	0.6373	0.7018
7	0.4955	0.7720	0.8391	0.6830	0.6445	0.7052
8	0.4826	0.7849	0.8476	0.6874	0.6433	0.7014
9	0.4794	0.7856	0.8490	0.6778	0.6350	0.6957
10	0.4621	0.7948	0.8621	0.6839	0.6385	0.6908
11	0.4510	0.8070	0.8697	0.6827	0.6421	0.6967
12	0.4532	0.8026	0.8664	0.6808	0.6433	0.6951
13	0.4481	0.7999	0.8711	0.6801	0.6421	0.6962
14	0.4383	0.8131	0.8776	0.6800	0.6397	0.6960
15	0.4451	0.8186	0.8726	0.6796	0.6385	0.6958
