epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6959	0.5055	0.5073	0.7239	0.5113	0.5153
2	0.6938	0.5055	0.5181	0.7237	0.5327	0.5194
3	0.6934	0.5189	0.5219	0.7237	0.5279	0.5215
4	0.6963	0.5055	0.5039	0.7237	0.5256	0.5236
5	0.6929	0.5244	0.5255	0.7237	0.5268	0.5270
6	0.6943	0.5107	0.5176	0.7235	0.5375	0.5280
7	0.6947	0.5200	0.5131	0.7235	0.5351	0.5286
8	0.6934	0.5176	0.5220	0.7236	0.5398	0.5305
9	0.6935	0.5172	0.5205	0.7235	0.5339	0.5297
10	0.6962	0.5041	0.5075	0.7235	0.5386	0.5309
11	0.6972	0.4983	0.4985	0.7235	0.5363	0.5288
12	0.6939	0.5076	0.5181	0.7235	0.5363	0.5307
13	0.6922	0.5224	0.5301	0.7235	0.5386	0.5310
14	0.6933	0.5193	0.5187	0.7235	0.5386	0.5315
15	0.6936	0.5134	0.5184	0.7235	0.5410	0.5317
