epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6454	0.6204	0.6680	0.7204	0.6840	0.7580
2	0.6016	0.6797	0.7364	0.7018	0.6733	0.7669
3	0.5722	0.7080	0.7709	0.6934	0.6875	0.7697
4	0.5478	0.7329	0.7945	0.6945	0.6816	0.7689
5	0.5192	0.7535	0.8201	0.6985	0.6710	0.7650
6	0.5019	0.7652	0.8335	0.7028	0.6616	0.7657
7	0.4817	0.7821	0.8489	0.6865	0.6722	0.7558
8	0.4679	0.7875	0.8584	0.6998	0.6663	0.7591
9	0.4576	0.8016	0.8630	0.7003	0.6722	0.7555
10	0.4475	0.8020	0.8712	0.7059	0.6663	0.7557
11	0.4333	0.8154	0.8792	0.7044	0.6651	0.7524
12	0.4227	0.8198	0.8873	0.6986	0.6686	0.7518
13	0.4255	0.8232	0.8843	0.7041	0.6639	0.7520
14	0.4236	0.8195	0.8851	0.7023	0.6675	0.7515
15	0.4157	0.8276	0.8903	0.7021	0.6698	0.7521
