epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6831	0.5490	0.5767	0.7227	0.6722	0.7199
2	0.6610	0.6156	0.6428	0.7047	0.6875	0.7502
3	0.6405	0.6357	0.6826	0.6977	0.6781	0.7536
4	0.6227	0.6591	0.7100	0.7034	0.6769	0.7454
5	0.6060	0.6803	0.7312	0.6914	0.6792	0.7408
6	0.5911	0.6951	0.7496	0.7052	0.6592	0.7445
7	0.5746	0.7095	0.7695	0.7061	0.6521	0.7401
8	0.5625	0.7210	0.7806	0.7024	0.6533	0.7361
9	0.5543	0.7394	0.7882	0.6980	0.6604	0.7354
10	0.5442	0.7361	0.7967	0.7015	0.6509	0.7353
11	0.5373	0.7430	0.8034	0.7063	0.6415	0.7322
12	0.5324	0.7423	0.8080	0.7016	0.6533	0.7306
13	0.5270	0.7491	0.8122	0.7015	0.6557	0.7297
14	0.5287	0.7502	0.8120	0.7008	0.6521	0.7296
15	0.5264	0.7451	0.8135	0.7010	0.6533	0.7294
