epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6784	0.5521	0.5902	0.6956	0.6824	0.7540
2	0.5924	0.6996	0.7491	0.6751	0.7200	0.7715
3	0.5477	0.7335	0.7950	0.6820	0.7212	0.7757
4	0.5197	0.7587	0.8200	0.6918	0.6894	0.7777
5	0.4943	0.7688	0.8400	0.6836	0.7094	0.7742
6	0.4857	0.7779	0.8450	0.6768	0.7047	0.7761
7	0.4654	0.7940	0.8581	0.6648	0.6918	0.7722
8	0.4594	0.7970	0.8629	0.6712	0.7047	0.7731
9	0.4446	0.8091	0.8720	0.6742	0.6965	0.7734
10	0.4294	0.8142	0.8811	0.6748	0.7000	0.7742
11	0.4247	0.8192	0.8841	0.6781	0.7024	0.7730
12	0.4177	0.8236	0.8879	0.6766	0.7047	0.7733
13	0.4217	0.8206	0.8854	0.6749	0.6988	0.7729
14	0.4183	0.8236	0.8859	0.6759	0.7059	0.7730
15	0.4185	0.8249	0.8858	0.6757	0.7059	0.7727
