epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6953	0.5162	0.5304	0.7428	0.4906	0.5540
2	0.6979	0.4889	0.5083	0.7415	0.4906	0.5595
3	0.6964	0.5078	0.5133	0.7405	0.4894	0.5642
4	0.6966	0.5108	0.5053	0.7396	0.5071	0.5680
5	0.6987	0.4929	0.4921	0.7395	0.5071	0.5700
6	0.6953	0.5101	0.5144	0.7394	0.5071	0.5727
7	0.6968	0.5041	0.5071	0.7390	0.5129	0.5737
8	0.6931	0.5122	0.5271	0.7389	0.5176	0.5744
9	0.6973	0.5057	0.5019	0.7388	0.5188	0.5751
10	0.6945	0.5250	0.5215	0.7387	0.5212	0.5760
11	0.6965	0.5037	0.5033	0.7387	0.5165	0.5773
12	0.6959	0.5166	0.5118	0.7387	0.5200	0.5768
13	0.6961	0.5074	0.5083	0.7387	0.5188	0.5774
14	0.6967	0.5111	0.5042	0.7387	0.5188	0.5768
15	0.6970	0.4963	0.5009	0.7387	0.5176	0.5782
