epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6895	0.5511	0.4933	0.7603	0.5976	0.5278
2	0.6885	0.5605	0.4856	0.7579	0.6012	0.5474
3	0.6856	0.5676	0.4936	0.7569	0.6012	0.5617
4	0.6817	0.5733	0.5155	0.7565	0.6012	0.5726
5	0.6833	0.5713	0.5053	0.7562	0.6012	0.5808
6	0.6820	0.5746	0.5133	0.7560	0.6012	0.5850
7	0.6815	0.5807	0.5148	0.7559	0.6012	0.5900
8	0.6849	0.5723	0.4961	0.7558	0.6012	0.5929
9	0.6820	0.5777	0.5108	0.7557	0.6012	0.5940
10	0.6826	0.5659	0.5134	0.7557	0.6012	0.5963
11	0.6831	0.5797	0.5048	0.7557	0.6012	0.5958
12	0.6820	0.5757	0.5090	0.7557	0.6012	0.5962
13	0.6812	0.5824	0.5136	0.7557	0.6012	0.5957
14	0.6806	0.5783	0.5207	0.7557	0.6012	0.5965
15	0.6795	0.5831	0.5259	0.7557	0.6012	0.5961
