epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6977	0.4919	0.4955	0.7730	0.5918	0.5911
2	0.6963	0.4951	0.5010	0.7735	0.5929	0.5966
3	0.6958	0.5195	0.5084	0.7740	0.5976	0.6033
4	0.6929	0.5175	0.5277	0.7744	0.6000	0.6098
5	0.6953	0.5004	0.5054	0.7748	0.6059	0.6131
6	0.6960	0.5024	0.5018	0.7750	0.6106	0.6158
7	0.6925	0.5154	0.5262	0.7752	0.6224	0.6182
8	0.6925	0.5227	0.5271	0.7755	0.6318	0.6205
9	0.6928	0.5179	0.5241	0.7755	0.6294	0.6203
10	0.6936	0.5126	0.5197	0.7755	0.6341	0.6210
11	0.6940	0.5183	0.5195	0.7755	0.6294	0.6229
12	0.6922	0.5231	0.5306	0.7755	0.6353	0.6222
13	0.6935	0.5101	0.5167	0.7755	0.6353	0.6216
14	0.6963	0.5053	0.4962	0.7755	0.6388	0.6224
15	0.6941	0.5061	0.5144	0.7755	0.6341	0.6221
