epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6974	0.4951	0.4978	0.7952	0.6709	0.5579
2	0.6881	0.5246	0.5461	0.7915	0.6709	0.5846
3	0.6775	0.5517	0.5933	0.7961	0.6385	0.6074
4	0.6632	0.5887	0.6362	0.7930	0.6187	0.6072
5	0.6436	0.6293	0.6887	0.7940	0.6007	0.6066
6	0.6327	0.6379	0.6974	0.7786	0.6565	0.6034
7	0.6155	0.6552	0.7270	0.7843	0.6205	0.6175
8	0.5999	0.6884	0.7563	0.7800	0.6385	0.6195
9	0.5876	0.6884	0.7762	0.7905	0.6151	0.6335
10	0.5898	0.6884	0.7615	0.7876	0.6187	0.6329
11	0.5715	0.6983	0.7829	0.7880	0.6133	0.6351
12	0.5681	0.6970	0.7852	0.7895	0.6079	0.6365
13	0.5670	0.7118	0.7882	0.7891	0.6115	0.6369
14	0.5713	0.7155	0.7846	0.7888	0.6133	0.6364
15	0.5650	0.6995	0.7921	0.7887	0.6115	0.6367
