epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7015	0.4869	0.4835	0.8076	0.5468	0.5641
2	0.6999	0.4895	0.4867	0.8085	0.5216	0.5641
3	0.7030	0.4751	0.4674	0.8090	0.5126	0.5630
4	0.6965	0.5092	0.5107	0.8095	0.5054	0.5621
5	0.6957	0.5105	0.5139	0.8100	0.4946	0.5633
6	0.7009	0.5079	0.4874	0.8101	0.4928	0.5619
7	0.7024	0.4843	0.4778	0.8103	0.4892	0.5610
8	0.6985	0.5000	0.4963	0.8103	0.4892	0.5607
9	0.7039	0.4869	0.4618	0.8105	0.4784	0.5617
10	0.6983	0.5196	0.4929	0.8106	0.4856	0.5612
11	0.6985	0.4935	0.4877	0.8106	0.4802	0.5612
12	0.6961	0.4987	0.5048	0.8106	0.4820	0.5608
13	0.7037	0.4908	0.4701	0.8106	0.4856	0.5607
14	0.7056	0.4856	0.4538	0.8107	0.4784	0.5609
15	0.7048	0.4751	0.4506	0.8107	0.4802	0.5608
