ID,irt_difficulty,score_var,split
f4_r656,1.9846161603927612,Anxiety,train-None
f4_r575,-2.119666337966919,Anxiety,train-None
f2_r1164,13.108525276184082,Anxiety,train-None
f5_r1443,1.4524743556976318,Anxiety,train-None
f5_r974,-11.43017292022705,Anxiety,train-None
f2_r1361,-3.1979873180389404,Anxiety,train-None
f3_r719,-7.025321960449219,Anxiety,train-None
f3_r188,0.41857853531837463,Anxiety,train-None
f2_r1073,6.094297885894775,Anxiety,train-None
f2_r1241,6.63899040222168,Anxiety,train-None
f2_r1414,-13.251415252685547,Anxiety,train-None
f5_r271,-0.4722875654697418,Anxiety,train-None
f4_r1233,-7.0110673904418945,Anxiety,train-None
f5_r1677,-1.5081813335418701,Anxiety,train-None
f4_r763,6.0025553703308105,Anxiety,train-None
f2_r374,-10.026983261108398,Anxiety,train-None
f2_r1074,-0.5101441740989685,Anxiety,train-None
f4_r1308,1.1960073709487915,Anxiety,train-None
f2_r806,-1.8099056482315063,Anxiety,train-None
f5_r316,2.8625779151916504,Anxiety,train-None
f4_r628,-11.453367233276367,Anxiety,train-None
f5_r476,2.087597608566284,Anxiety,train-None
f2_r817,-2.3901944160461426,Anxiety,train-None
f2_r811,2.7342453002929688,Anxiety,train-None
f3_r842,2.582517623901367,Anxiety,train-None
f3_r116,0.7221704125404358,Anxiety,train-None
f4_r1276,-6.138255596160889,Anxiety,train-None
f2_r925,-7.893347263336182,Anxiety,train-None
f2_r144,0.29908978939056396,Anxiety,train-None
f5_r1025,-4.469645023345947,Anxiety,train-None
f3_r1422,-2.4680428504943848,Anxiety,train-None
f3_r1421,3.681182861328125,Anxiety,train-None
f2_r1212,0.6267237663269043,Anxiety,train-None
f3_r193,5.224918365478516,Anxiety,train-None
f5_r1130,2.6864917278289795,Anxiety,train-None
f5_r475,0.3498227298259735,Anxiety,train-None
f5_r756,-0.671904981136322,Anxiety,train-None
f2_r1593,1.608703851699829,Anxiety,train-None
f5_r1332,-0.37533387541770935,Anxiety,train-None
f3_r1087,2.0998148918151855,Anxiety,train-None
f5_r1694,1.8557685613632202,Anxiety,train-None
f3_r836,5.488230228424072,Anxiety,train-None
f5_r337,3.0039963722229004,Anxiety,train-None
f4_r712,-3.03309965133667,Anxiety,train-None
f4_r515,1.1581979990005493,Anxiety,train-None
f2_r795,-1.7765270471572876,Anxiety,train-None
f4_r943,-11.404026985168457,Anxiety,train-None
f4_r606,-17.181194305419922,Anxiety,train-None
f3_r547,-13.33845329284668,Anxiety,train-None
f4_r354,4.613368034362793,Anxiety,train-None
f3_r586,2.1554815769195557,Anxiety,train-None
f4_r936,-4.995895862579346,Anxiety,train-None
f2_r450,-5.991843223571777,Anxiety,train-None
f4_r804,-3.1062657833099365,Anxiety,train-None
f2_r1001,0.41919660568237305,Anxiety,train-None
f4_r573,-9.268388748168945,Anxiety,train-None
f4_r273,3.905459403991699,Anxiety,train-None
f5_r44,4.978567600250244,Anxiety,train-None
f5_r99,-2.5868189334869385,Anxiety,train-None
f4_r420,-15.178855895996094,Anxiety,train-None
f4_r708,-0.20148548483848572,Anxiety,train-None
f2_r551,-6.219208240509033,Anxiety,train-None
f2_r689,2.615882158279419,Anxiety,train-None
f3_r828,-3.8612420558929443,Anxiety,train-None
f3_r691,13.926082611083984,Anxiety,train-None
f2_r160,2.040771007537842,Anxiety,train-None
f3_r750,1.8241997957229614,Anxiety,train-None
f4_r641,-13.453195571899414,Anxiety,train-None
f3_r1262,-11.358635902404785,Anxiety,train-None
f3_r850,1.7952964305877686,Anxiety,train-None
f3_r1072,0.4744322597980499,Anxiety,train-None
f4_r1256,-0.013831284828484058,Anxiety,train-None
f3_r1474,1.4884099960327148,Anxiety,train-None
f2_r1649,3.162829637527466,Anxiety,train-None
f3_r372,3.21505069732666,Anxiety,train-None
f2_r1282,-6.047005653381348,Anxiety,train-None
f3_r1285,-1.7269933223724365,Anxiety,train-None
f4_r504,-9.109366416931152,Anxiety,train-None
f2_r1376,4.771472454071045,Anxiety,train-None
f5_r594,-13.170989990234375,Anxiety,train-None
f4_r150,-2.480449914932251,Anxiety,train-None
f4_r401,0.5875851511955261,Anxiety,train-None
f3_r294,9.872171401977539,Anxiety,train-None
f2_r1211,-0.49480825662612915,Anxiety,train-None
f2_r292,-13.056135177612305,Anxiety,train-None
f2_r530,-3.304913282394409,Anxiety,train-None
f5_r134,-0.28214603662490845,Anxiety,train-None
f2_r109,0.6635565161705017,Anxiety,train-None
f4_r1000,4.375250816345215,Anxiety,train-None
f5_r455,-12.719266891479492,Anxiety,train-None
f2_r1564,1.1961519718170166,Anxiety,train-None
f2_r1308,-4.7370710372924805,Anxiety,train-None
f4_r226,2.320648670196533,Anxiety,train-None
f4_r1180,3.2887611389160156,Anxiety,train-None
f3_r471,4.2420454025268555,Anxiety,train-None
f2_r596,1.5700010061264038,Anxiety,train-None
f3_r1670,1.2315829992294312,Anxiety,train-None
f5_r45,-0.22842150926589966,Anxiety,train-None
f4_r1404,1.1218918561935425,Anxiety,train-None
f5_r1631,6.743933200836182,Anxiety,train-None
f2_r68,-15.660747528076172,Anxiety,train-None
f3_r554,-11.554536819458008,Anxiety,train-None
f5_r1309,2.9452311992645264,Anxiety,train-None
f4_r312,-8.715598106384277,Anxiety,train-None
f4_r1012,-8.684152603149414,Anxiety,train-None
f5_r460,8.437159538269043,Anxiety,train-None
f4_r1475,-8.837545394897461,Anxiety,train-None
f5_r297,-0.1857798844575882,Anxiety,train-None
f5_r824,-5.1317033767700195,Anxiety,train-None
f4_r948,-7.436315536499023,Anxiety,train-None
f3_r1188,-4.550779342651367,Anxiety,train-None
f3_r853,1.8987056016921997,Anxiety,train-None
f2_r1160,-3.3411872386932373,Anxiety,train-None
f5_r664,0.953841507434845,Anxiety,train-None
f2_r1030,-13.569111824035645,Anxiety,train-None
f4_r1330,2.033006191253662,Anxiety,train-None
f3_r1150,1.7575621604919434,Anxiety,train-None
f4_r1441,-1.9613487720489502,Anxiety,train-None
f2_r510,2.8442447185516357,Anxiety,train-None
f3_r1488,2.580582857131958,Anxiety,train-None
f2_r1133,-12.141118049621582,Anxiety,train-None
f5_r1609,-2.6147782802581787,Anxiety,train-None
f4_r868,3.971276044845581,Anxiety,train-None
f3_r1152,-12.55749797821045,Anxiety,train-None
f5_r1188,-1.2239514589309692,Anxiety,train-None
f4_r505,6.907879829406738,Anxiety,train-None
f4_r1401,3.971946954727173,Anxiety,train-None
f2_r1454,3.241731643676758,Anxiety,train-None
f4_r1675,-0.21912525594234467,Anxiety,train-None
f4_r1676,0.4469861686229706,Anxiety,train-None
f4_r842,-7.317616939544678,Anxiety,train-None
f2_r1610,1.452278971672058,Anxiety,train-None
f2_r1467,-0.35923030972480774,Anxiety,train-None
f3_r134,3.5586512088775635,Anxiety,train-None
f2_r1412,-3.096001386642456,Anxiety,train-None
f4_r1097,21.473228454589844,Anxiety,train-None
f5_r1059,-3.9956719875335693,Anxiety,train-None
f3_r281,-3.459308624267578,Anxiety,train-None
f2_r586,0.5741934776306152,Anxiety,train-None
f3_r1660,-1.2583544254302979,Anxiety,train-None
f3_r201,-10.316511154174805,Anxiety,train-None
f3_r737,4.79531192779541,Anxiety,train-None
f2_r1457,-12.759572982788086,Anxiety,train-None
f5_r1180,-7.210017204284668,Anxiety,train-None
f3_r997,1.8353691101074219,Anxiety,train-None
f2_r1393,-7.164937973022461,Anxiety,train-None
f3_r1066,4.854798316955566,Anxiety,train-None
f2_r747,5.8496928215026855,Anxiety,train-None
f2_r1637,-6.221989631652832,Anxiety,train-None
f5_r1247,5.22196102142334,Anxiety,train-None
f2_r1342,-0.40387243032455444,Anxiety,train-None
f5_r317,-0.46228834986686707,Anxiety,train-None
f3_r2,-15.527302742004395,Anxiety,train-None
