ID,irt_difficulty,score_var,split
f4_r656,10.443538665771484,Numeracy,train-None
f4_r575,-11.774782180786133,Numeracy,train-None
f5_r1443,-2.5107688903808594,Numeracy,train-None
f5_r974,-8.472845077514648,Numeracy,train-None
f2_r1361,-10.314120292663574,Numeracy,train-None
f3_r719,9.179891586303711,Numeracy,train-None
f5_r850,14.59299087524414,Numeracy,train-None
f2_r1073,13.160634994506836,Numeracy,train-None
f2_r1241,2.9742202758789062,Numeracy,train-None
f5_r1196,7.563230991363525,Numeracy,train-None
f5_r271,18.684316635131836,Numeracy,train-None
f4_r1233,-3.2164876461029053,Numeracy,train-None
f4_r1014,2.921842575073242,Numeracy,train-None
f2_r374,-11.70065975189209,Numeracy,train-None
f2_r1540,9.762117385864258,Numeracy,train-None
f2_r820,3.0840389728546143,Numeracy,train-None
f2_r1074,-15.710410118103027,Numeracy,train-None
f4_r987,14.697185516357422,Numeracy,train-None
f4_r858,-0.13713397085666656,Numeracy,train-None
f5_r476,12.607473373413086,Numeracy,train-None
f2_r817,3.912961959838867,Numeracy,train-None
f5_r1271,7.651210308074951,Numeracy,train-None
f2_r811,18.495332717895508,Numeracy,train-None
f3_r842,4.688536167144775,Numeracy,train-None
f3_r116,5.640935897827148,Numeracy,train-None
f2_r925,8.442437171936035,Numeracy,train-None
f2_r144,-16.892927169799805,Numeracy,train-None
f4_r1334,9.746328353881836,Numeracy,train-None
f5_r1001,1.974977970123291,Numeracy,train-None
f3_r1422,-18.900379180908203,Numeracy,train-None
f3_r1421,5.317856311798096,Numeracy,train-None
f2_r1578,-10.538765907287598,Numeracy,train-None
f2_r1082,5.781477451324463,Numeracy,train-None
f5_r1130,6.053219795227051,Numeracy,train-None
f5_r391,-10.720884323120117,Numeracy,train-None
f5_r756,16.2862491607666,Numeracy,train-None
f4_r162,-1.3736339807510376,Numeracy,train-None
f2_r1593,-11.572928428649902,Numeracy,train-None
f5_r1694,-16.86663055419922,Numeracy,train-None
f2_r897,0.6424670219421387,Numeracy,train-None
f3_r883,2.3804068565368652,Numeracy,train-None
f4_r712,-16.24522590637207,Numeracy,train-None
f2_r552,7.345370292663574,Numeracy,train-None
f2_r435,-2.6681723594665527,Numeracy,train-None
f3_r653,-17.57677459716797,Numeracy,train-None
f2_r115,-0.4209316074848175,Numeracy,train-None
f2_r1588,7.4858012199401855,Numeracy,train-None
f4_r943,8.618010520935059,Numeracy,train-None
f4_r1592,-17.02565574645996,Numeracy,train-None
f3_r547,8.508697509765625,Numeracy,train-None
f4_r936,8.134672164916992,Numeracy,train-None
f2_r901,10.635099411010742,Numeracy,train-None
f2_r1001,15.156262397766113,Numeracy,train-None
f4_r508,12.909876823425293,Numeracy,train-None
f4_r273,-13.024494171142578,Numeracy,train-None
f5_r44,-7.533806800842285,Numeracy,train-None
f5_r99,4.28001594543457,Numeracy,train-None
f3_r333,4.015111923217773,Numeracy,train-None
f4_r970,2.1258444786071777,Numeracy,train-None
f4_r1324,0.9086770415306091,Numeracy,train-None
f4_r708,16.349384307861328,Numeracy,train-None
f3_r921,6.89423942565918,Numeracy,train-None
f3_r828,-15.247115135192871,Numeracy,train-None
f4_r670,5.302186489105225,Numeracy,train-None
f5_r191,-4.977574825286865,Numeracy,train-None
f2_r308,2.9481048583984375,Numeracy,train-None
f3_r1262,12.266924858093262,Numeracy,train-None
f3_r850,1.218637466430664,Numeracy,train-None
f5_r1384,1.9977391958236694,Numeracy,train-None
f4_r1280,14.171555519104004,Numeracy,train-None
f2_r1649,6.077963829040527,Numeracy,train-None
f3_r1285,-0.8141549229621887,Numeracy,train-None
f4_r504,11.504315376281738,Numeracy,train-None
f2_r1011,6.3634819984436035,Numeracy,train-None
f4_r150,9.857442855834961,Numeracy,train-None
f3_r64,2.9287235736846924,Numeracy,train-None
f2_r305,-11.387998580932617,Numeracy,train-None
f2_r836,9.104825019836426,Numeracy,train-None
f3_r506,4.322293758392334,Numeracy,train-None
f2_r1008,2.198570728302002,Numeracy,train-None
f3_r294,-13.748380661010742,Numeracy,train-None
f2_r292,3.0082008838653564,Numeracy,train-None
f2_r639,4.69965124130249,Numeracy,train-None
f4_r568,4.06071138381958,Numeracy,train-None
f3_r1476,8.218892097473145,Numeracy,train-None
f5_r1113,5.230124473571777,Numeracy,train-None
f5_r20,1.8772289752960205,Numeracy,train-None
f4_r1000,-12.715636253356934,Numeracy,train-None
f2_r536,14.493091583251953,Numeracy,train-None
f5_r455,6.419695854187012,Numeracy,train-None
f5_r301,2.1150147914886475,Numeracy,train-None
f2_r1564,1.4810370206832886,Numeracy,train-None
f4_r226,5.070780277252197,Numeracy,train-None
f3_r1322,5.2362751960754395,Numeracy,train-None
f2_r596,2.0109074115753174,Numeracy,train-None
f2_r1247,7.61366081237793,Numeracy,train-None
f4_r1404,5.6618852615356445,Numeracy,train-None
f2_r1534,3.0016672611236572,Numeracy,train-None
f2_r863,8.706167221069336,Numeracy,train-None
f3_r554,16.46940803527832,Numeracy,train-None
f3_r1251,4.9208550453186035,Numeracy,train-None
f4_r847,17.467863082885742,Numeracy,train-None
f3_r932,2.575889825820923,Numeracy,train-None
f5_r348,-4.599513530731201,Numeracy,train-None
f5_r231,11.92398452758789,Numeracy,train-None
f2_r49,0.6654795408248901,Numeracy,train-None
f5_r824,4.613868236541748,Numeracy,train-None
f4_r261,4.394203186035156,Numeracy,train-None
f5_r664,-6.684810638427734,Numeracy,train-None
f4_r1596,8.262165069580078,Numeracy,train-None
f4_r19,13.688956260681152,Numeracy,train-None
f2_r1030,6.75954008102417,Numeracy,train-None
f3_r1517,12.506247520446777,Numeracy,train-None
f4_r117,-0.9813690185546875,Numeracy,train-None
f4_r1441,2.419959545135498,Numeracy,train-None
f2_r1133,-2.604414939880371,Numeracy,train-None
f3_r69,-13.740776062011719,Numeracy,train-None
f2_r1413,9.673765182495117,Numeracy,train-None
f5_r1188,-3.00305438041687,Numeracy,train-None
f4_r505,6.961584568023682,Numeracy,train-None
f2_r743,5.464772701263428,Numeracy,train-None
f4_r301,4.332050323486328,Numeracy,train-None
f3_r1171,-15.861745834350586,Numeracy,train-None
f4_r809,-7.256755828857422,Numeracy,train-None
f2_r1467,-6.909369945526123,Numeracy,train-None
f3_r1659,2.2374231815338135,Numeracy,train-None
f3_r134,-2.939537286758423,Numeracy,train-None
f2_r991,-5.37791109085083,Numeracy,train-None
f4_r1097,9.368856430053711,Numeracy,train-None
f4_r361,3.2283999919891357,Numeracy,train-None
f5_r1059,2.2335946559906006,Numeracy,train-None
f3_r1275,5.629138469696045,Numeracy,train-None
f5_r513,15.348742485046387,Numeracy,train-None
f2_r586,15.325662612915039,Numeracy,train-None
f3_r915,13.567075729370117,Numeracy,train-None
f5_r823,5.191339492797852,Numeracy,train-None
f2_r616,15.042789459228516,Numeracy,train-None
f2_r63,14.367520332336426,Numeracy,train-None
f2_r1457,12.62198543548584,Numeracy,train-None
f5_r1180,-7.430701732635498,Numeracy,train-None
f3_r1618,2.6526694297790527,Numeracy,train-None
f4_r837,16.294050216674805,Numeracy,train-None
f2_r747,13.159523963928223,Numeracy,train-None
f3_r625,10.122955322265625,Numeracy,train-None
f5_r248,3.0212695598602295,Numeracy,train-None
f2_r1118,14.024110794067383,Numeracy,train-None
f2_r436,4.284266948699951,Numeracy,train-None
f4_r36,0.7281683087348938,Numeracy,train-None
f5_r1322,-17.75492286682129,Numeracy,train-None
f5_r317,4.3630266189575195,Numeracy,train-None
f3_r1378,12.267455101013184,Numeracy,train-None
f3_r2,8.889945030212402,Numeracy,train-None
f2_r318,13.052210807800293,Numeracy,train-None
f3_r166,10.138339042663574,Numeracy,train-None
f5_r1080,14.675457954406738,Numeracy,train-None
f4_r1472,0.27871939539909363,Numeracy,train-None
f5_r140,1.3602277040481567,Numeracy,train-None
f5_r1627,13.00993537902832,Numeracy,train-None
f3_r1578,7.650804042816162,Numeracy,train-None
f3_r1265,9.395934104919434,Numeracy,train-None
f2_r1353,1.9797883033752441,Numeracy,train-None
f5_r989,9.995360374450684,Numeracy,train-None
f2_r1398,3.631895065307617,Numeracy,train-None
f3_r3,2.3053762912750244,Numeracy,train-None
f4_r2,12.041189193725586,Numeracy,train-None
f3_r1116,6.2657880783081055,Numeracy,train-None
f3_r936,2.295703411102295,Numeracy,train-None
f5_r125,2.7322709560394287,Numeracy,train-None
f3_r751,-12.59080982208252,Numeracy,train-None
f4_r1461,11.964129447937012,Numeracy,train-None
f5_r19,-15.826254844665527,Numeracy,train-None
f3_r80,4.391239643096924,Numeracy,train-None
f4_r413,12.71985912322998,Numeracy,train-None
f4_r1639,2.789247512817383,Numeracy,train-None
f5_r950,1.2846076488494873,Numeracy,train-None
f2_r1193,2.3339080810546875,Numeracy,train-None
f5_r994,-1.7599273920059204,Numeracy,train-None
f4_r246,-3.1048684120178223,Numeracy,train-None
f2_r54,8.936381340026855,Numeracy,train-None
f3_r487,4.100938320159912,Numeracy,train-None
f5_r1029,-8.741750717163086,Numeracy,train-None
f5_r1367,-2.294461488723755,Numeracy,train-None
f2_r1607,1.7566921710968018,Numeracy,train-None
f3_r940,-10.388226509094238,Numeracy,train-None
f5_r682,-4.014721870422363,Numeracy,train-None
f4_r59,-13.171844482421875,Numeracy,train-None
f2_r847,3.933302402496338,Numeracy,train-None
f5_r417,-1.9979560375213623,Numeracy,train-None
f4_r933,7.173030853271484,Numeracy,train-None
f3_r1008,0.6976448893547058,Numeracy,train-None
f5_r1307,-2.314133644104004,Numeracy,train-None
f5_r1509,4.064462661743164,Numeracy,train-None
f2_r469,2.9326364994049072,Numeracy,train-None
f4_r1587,0.7912582159042358,Numeracy,train-None
f2_r359,14.951783180236816,Numeracy,train-None
f3_r91,-5.4769792556762695,Numeracy,train-None
f2_r969,-17.189159393310547,Numeracy,train-None
f2_r1181,1.3134417533874512,Numeracy,train-None
f3_r125,17.343765258789062,Numeracy,train-None
f2_r528,-0.10778339952230453,Numeracy,train-None
f4_r206,-8.215664863586426,Numeracy,train-None
f4_r591,-3.0255539417266846,Numeracy,train-None
f3_r987,-15.671136856079102,Numeracy,train-None
f5_r879,-12.095015525817871,Numeracy,train-None
f3_r1675,-11.490074157714844,Numeracy,train-None
f3_r444,-19.678329467773438,Numeracy,train-None
f5_r540,0.7507920265197754,Numeracy,train-None
f3_r1490,3.075225353240967,Numeracy,train-None
f2_r1608,-13.126616477966309,Numeracy,train-None
f3_r238,-7.996589183807373,Numeracy,train-None
f2_r1537,16.609752655029297,Numeracy,train-None
f2_r1356,-15.524602890014648,Numeracy,train-None
f4_r1418,1.4479620456695557,Numeracy,train-None
f5_r1529,14.062871932983398,Numeracy,train-None
f2_r511,12.288969039916992,Numeracy,train-None
f2_r825,9.234779357910156,Numeracy,train-None
f2_r1330,-8.017679214477539,Numeracy,train-None
f5_r819,12.19401741027832,Numeracy,train-None
f5_r1146,3.338240623474121,Numeracy,train-None
f4_r1122,11.261238098144531,Numeracy,train-None
f5_r211,-12.289027214050293,Numeracy,train-None
f3_r667,2.1913890838623047,Numeracy,train-None
f3_r807,-0.9172505140304565,Numeracy,train-None
f3_r963,0.5786895751953125,Numeracy,train-None
f2_r119,2.1394121646881104,Numeracy,train-None
f4_r1376,7.581931114196777,Numeracy,train-None
f5_r743,4.1572370529174805,Numeracy,train-None
f3_r597,2.2612903118133545,Numeracy,train-None
f2_r962,-3.9989137649536133,Numeracy,train-None
f3_r1162,17.064884185791016,Numeracy,train-None
f2_r892,0.6319839358329773,Numeracy,train-None
f3_r152,6.702541351318359,Numeracy,train-None
f4_r483,-10.498322486877441,Numeracy,train-None
f5_r115,-2.4895143508911133,Numeracy,train-None
f4_r1590,15.550537109375,Numeracy,train-None
f4_r1313,14.970361709594727,Numeracy,train-None
f4_r836,4.549814701080322,Numeracy,train-None
f2_r1404,4.667858600616455,Numeracy,train-None
f5_r1462,-6.240301132202148,Numeracy,train-None
f5_r309,4.741547584533691,Numeracy,train-None
f5_r1132,-8.186441421508789,Numeracy,train-None
f2_r559,0.839023232460022,Numeracy,train-None
f2_r944,1.7628984451293945,Numeracy,train-None
f5_r1095,2.354264736175537,Numeracy,train-None
f3_r1292,-13.781157493591309,Numeracy,train-None
f2_r1625,-2.434478998184204,Numeracy,train-None
f3_r640,0.17523621022701263,Numeracy,train-None
f4_r1426,-11.003055572509766,Numeracy,train-None
f5_r1158,-5.942633152008057,Numeracy,train-None
f2_r1499,-10.408846855163574,Numeracy,train-None
f2_r1475,4.472522735595703,Numeracy,train-None
f2_r900,2.8828272819519043,Numeracy,train-None
f5_r1291,-6.605566501617432,Numeracy,train-None
f4_r1121,4.309770584106445,Numeracy,train-None
f2_r276,13.730582237243652,Numeracy,train-None
f3_r1248,1.890243649482727,Numeracy,train-None
f3_r967,4.238687992095947,Numeracy,train-None
f3_r1505,5.761310577392578,Numeracy,train-None
f2_r1132,-15.240129470825195,Numeracy,train-None
f3_r209,19.325801849365234,Numeracy,train-None
f2_r618,3.220592975616455,Numeracy,train-None
f5_r1550,7.38693904876709,Numeracy,train-None
f5_r1000,2.2251768112182617,Numeracy,train-None
f4_r1250,12.110258102416992,Numeracy,train-None
f2_r1050,6.237512588500977,Numeracy,train-None
f5_r1543,0.23622636497020721,Numeracy,train-None
f2_r146,1.1259727478027344,Numeracy,train-None
f5_r943,1.1467199325561523,Numeracy,train-None
f5_r1583,-8.561243057250977,Numeracy,train-None
f4_r1638,4.245469093322754,Numeracy,train-None
f2_r1373,17.79002571105957,Numeracy,train-None
f3_r1453,4.11056661605835,Numeracy,train-None
f2_r50,-9.775625228881836,Numeracy,train-None
f2_r291,16.723434448242188,Numeracy,train-None
f4_r1419,0.7895007133483887,Numeracy,train-None
f4_r635,13.14743709564209,Numeracy,train-None
f2_r1525,2.4685745239257812,Numeracy,train-None
f4_r1454,10.513566970825195,Numeracy,train-None
f5_r800,1.4272922277450562,Numeracy,train-None
f5_r1274,1.3064466714859009,Numeracy,train-None
f4_r225,-3.836663007736206,Numeracy,train-None
f5_r830,3.146027088165283,Numeracy,train-None
f4_r1641,1.727116346359253,Numeracy,train-None
f3_r1622,2.5549073219299316,Numeracy,train-None
f2_r695,-3.162081718444824,Numeracy,train-None
f5_r1198,-9.665992736816406,Numeracy,train-None
f2_r634,4.033517360687256,Numeracy,train-None
f3_r745,3.342949628829956,Numeracy,train-None
f4_r774,0.6404696106910706,Numeracy,train-None
f5_r816,0.7268185615539551,Numeracy,train-None
f4_r170,-0.5229835510253906,Numeracy,train-None
f3_r320,-9.044376373291016,Numeracy,train-None
f4_r30,1.8474700450897217,Numeracy,train-None
f3_r312,2.6030044555664062,Numeracy,train-None
f2_r1418,-15.5699462890625,Numeracy,train-None
f3_r1197,-3.7631676197052,Numeracy,train-None
f2_r678,1.0990076065063477,Numeracy,train-None
f2_r441,5.119406223297119,Numeracy,train-None
f4_r491,3.927273750305176,Numeracy,train-None
f3_r48,11.867509841918945,Numeracy,train-None
f3_r1365,0.5821000337600708,Numeracy,train-None
f3_r394,2.9987308979034424,Numeracy,train-None
f4_r161,13.89382553100586,Numeracy,train-None
f4_r630,3.3094184398651123,Numeracy,train-None
f5_r1066,11.730886459350586,Numeracy,train-None
f3_r1595,-9.892363548278809,Numeracy,train-None
f2_r299,-4.82118558883667,Numeracy,train-None
f5_r1088,2.1570236682891846,Numeracy,train-None
f4_r1220,11.406798362731934,Numeracy,train-None
f5_r1092,-10.088326454162598,Numeracy,train-None
f2_r1116,13.605478286743164,Numeracy,train-None
f4_r50,3.9531495571136475,Numeracy,train-None
f5_r1499,-8.222655296325684,Numeracy,train-None
f3_r1039,1.7680715322494507,Numeracy,train-None
f2_r309,4.541710376739502,Numeracy,train-None
f2_r40,-0.7277864217758179,Numeracy,train-None
f2_r139,-2.2969748973846436,Numeracy,train-None
f3_r857,-2.067866325378418,Numeracy,train-None
f4_r263,9.37546157836914,Numeracy,train-None
f5_r1118,11.41148853302002,Numeracy,train-None
f5_r76,5.83384370803833,Numeracy,train-None
f2_r387,4.765698432922363,Numeracy,train-None
f3_r233,-10.407759666442871,Numeracy,train-None
f3_r887,14.934674263000488,Numeracy,train-None
f2_r1659,2.8143465518951416,Numeracy,train-None
f2_r566,-4.819153308868408,Numeracy,train-None
f4_r222,10.133655548095703,Numeracy,train-None
f4_r1086,1.630853295326233,Numeracy,train-None
f2_r1309,0.0012179482728242874,Numeracy,train-None
f4_r255,9.82007884979248,Numeracy,train-None
f3_r1143,-3.9875731468200684,Numeracy,train-None
f3_r416,14.714888572692871,Numeracy,train-None
f5_r59,7.337826728820801,Numeracy,train-None
f4_r241,2.493820905685425,Numeracy,train-None
f3_r1107,9.260079383850098,Numeracy,train-None
f5_r496,6.002902984619141,Numeracy,train-None
f2_r172,0.40879467129707336,Numeracy,train-None
f3_r1584,-15.756299018859863,Numeracy,train-None
f5_r1611,5.012513637542725,Numeracy,train-None
