ID,irt_difficulty,score_var,split
f2_r925,6.002421855926514,SubjectiveLit,train-None
f2_r633,-6.111252784729004,SubjectiveLit,train-None
f3_r666,-1.8147468566894531,SubjectiveLit,train-None
f5_r1382,2.5055720806121826,SubjectiveLit,train-None
f4_r64,1.0426907539367676,SubjectiveLit,train-None
f4_r324,11.545989036560059,SubjectiveLit,train-None
f2_r1114,2.440946340560913,SubjectiveLit,train-None
f2_r1064,-9.071329116821289,SubjectiveLit,train-None
f2_r1220,-1.201416015625,SubjectiveLit,train-None
f2_r440,8.18079662322998,SubjectiveLit,train-None
f4_r824,-4.1473846435546875,SubjectiveLit,train-None
f5_r1604,-2.3147060871124268,SubjectiveLit,train-None
f2_r806,-6.66281270980835,SubjectiveLit,train-None
f4_r353,15.04285717010498,SubjectiveLit,train-None
f3_r571,-0.42095184326171875,SubjectiveLit,train-None
f3_r9,6.377923965454102,SubjectiveLit,train-None
f2_r772,-7.2799224853515625,SubjectiveLit,train-None
f5_r737,-5.515119552612305,SubjectiveLit,train-None
f3_r1499,12.165372848510742,SubjectiveLit,train-None
f3_r1166,13.87353515625,SubjectiveLit,train-None
f2_r706,-9.787607192993164,SubjectiveLit,train-None
f2_r422,-2.7348978519439697,SubjectiveLit,train-None
f2_r1323,-7.61678409576416,SubjectiveLit,train-None
f2_r188,-2.5700807571411133,SubjectiveLit,train-None
f4_r608,-4.47283411026001,SubjectiveLit,train-None
f4_r1425,-1.3590668439865112,SubjectiveLit,train-None
f3_r427,-3.6537957191467285,SubjectiveLit,train-None
f3_r1306,-8.007686614990234,SubjectiveLit,train-None
f3_r1609,-11.949848175048828,SubjectiveLit,train-None
f5_r1618,-8.084609031677246,SubjectiveLit,train-None
f4_r1338,6.995975971221924,SubjectiveLit,train-None
f4_r1231,-0.8537390232086182,SubjectiveLit,train-None
f4_r1439,-10.098527908325195,SubjectiveLit,train-None
f3_r1145,6.693123817443848,SubjectiveLit,train-None
f3_r831,-10.312021255493164,SubjectiveLit,train-None
f3_r250,-10.12682056427002,SubjectiveLit,train-None
f2_r397,-0.04846346005797386,SubjectiveLit,train-None
f5_r1663,-3.2080180644989014,SubjectiveLit,train-None
f2_r685,-7.799208164215088,SubjectiveLit,train-None
f5_r35,8.071142196655273,SubjectiveLit,train-None
f2_r729,-4.478710174560547,SubjectiveLit,train-None
f5_r829,-2.994718313217163,SubjectiveLit,train-None
f2_r1244,-8.729636192321777,SubjectiveLit,train-None
f5_r18,-7.8648858070373535,SubjectiveLit,train-None
f2_r1668,6.639651775360107,SubjectiveLit,train-None
f5_r1136,-13.022401809692383,SubjectiveLit,train-None
f2_r342,-10.26369571685791,SubjectiveLit,train-None
f3_r1496,0.4428861141204834,SubjectiveLit,train-None
f2_r1360,7.899168968200684,SubjectiveLit,train-None
f3_r50,1.813433051109314,SubjectiveLit,train-None
f2_r1181,13.273224830627441,SubjectiveLit,train-None
f3_r1241,3.982719659805298,SubjectiveLit,train-None
f4_r1424,-2.91253399848938,SubjectiveLit,train-None
f4_r60,9.990036010742188,SubjectiveLit,train-None
f3_r7,-5.3487868309021,SubjectiveLit,train-None
f2_r1507,-6.559451580047607,SubjectiveLit,train-None
f4_r900,5.3792619705200195,SubjectiveLit,train-None
f5_r1187,-2.013273000717163,SubjectiveLit,train-None
f2_r1394,-5.0856194496154785,SubjectiveLit,train-None
f5_r489,1.0400620698928833,SubjectiveLit,train-None
f4_r908,-7.199856281280518,SubjectiveLit,train-None
f5_r1516,-11.211930274963379,SubjectiveLit,train-None
f3_r1105,-10.389063835144043,SubjectiveLit,train-None
f2_r107,-6.39639139175415,SubjectiveLit,train-None
f3_r1129,-1.859218716621399,SubjectiveLit,train-None
f4_r868,0.4248366951942444,SubjectiveLit,train-None
f4_r1225,-10.212478637695312,SubjectiveLit,train-None
f5_r1376,-4.275412082672119,SubjectiveLit,train-None
f2_r212,-11.85505485534668,SubjectiveLit,train-None
f4_r6,-2.035726547241211,SubjectiveLit,train-None
f4_r615,-3.500314474105835,SubjectiveLit,train-None
f2_r711,0.45999038219451904,SubjectiveLit,train-None
f3_r755,-7.210352897644043,SubjectiveLit,train-None
f5_r1062,-8.542797088623047,SubjectiveLit,train-None
f2_r559,14.756363868713379,SubjectiveLit,train-None
f2_r1614,1.8976024389266968,SubjectiveLit,train-None
f2_r810,-1.1773864030838013,SubjectiveLit,train-None
f2_r420,-11.843426704406738,SubjectiveLit,train-None
f5_r1044,-11.059870719909668,SubjectiveLit,train-None
f5_r1557,8.501659393310547,SubjectiveLit,train-None
f4_r714,-1.0857988595962524,SubjectiveLit,train-None
f3_r313,1.236711025238037,SubjectiveLit,train-None
f5_r1236,-8.391742706298828,SubjectiveLit,train-None
f4_r48,-6.16399621963501,SubjectiveLit,train-None
f2_r1071,-6.780221939086914,SubjectiveLit,train-None
f4_r1634,-11.083094596862793,SubjectiveLit,train-None
f3_r789,2.981689214706421,SubjectiveLit,train-None
f5_r836,8.97665786743164,SubjectiveLit,train-None
f3_r507,-4.190180778503418,SubjectiveLit,train-None
f4_r1204,-5.450568199157715,SubjectiveLit,train-None
f2_r1159,3.190121650695801,SubjectiveLit,train-None
f3_r1347,-1.6276041269302368,SubjectiveLit,train-None
f2_r852,3.5508909225463867,SubjectiveLit,train-None
f3_r1627,-10.524834632873535,SubjectiveLit,train-None
f5_r908,-2.6517245769500732,SubjectiveLit,train-None
f4_r150,2.9157321453094482,SubjectiveLit,train-None
f3_r1195,2.7211737632751465,SubjectiveLit,train-None
f2_r762,5.005334854125977,SubjectiveLit,train-None
f3_r526,-6.6235175132751465,SubjectiveLit,train-None
f2_r537,-4.410883903503418,SubjectiveLit,train-None
f2_r1136,6.3416948318481445,SubjectiveLit,train-None
f4_r1052,3.1501808166503906,SubjectiveLit,train-None
f5_r186,-6.425265312194824,SubjectiveLit,train-None
f3_r462,9.05883502960205,SubjectiveLit,train-None
f3_r137,-5.185314178466797,SubjectiveLit,train-None
f3_r1329,-14.224858283996582,SubjectiveLit,train-None
f5_r1317,-12.76883316040039,SubjectiveLit,train-None
f5_r1442,-5.646738052368164,SubjectiveLit,train-None
f5_r304,-0.20379333198070526,SubjectiveLit,train-None
f2_r16,12.608790397644043,SubjectiveLit,train-None
f4_r1473,-12.023335456848145,SubjectiveLit,train-None
f2_r1511,-7.897996425628662,SubjectiveLit,train-None
f2_r1093,-4.677758693695068,SubjectiveLit,train-None
f2_r1293,-6.829245567321777,SubjectiveLit,train-None
f3_r1150,2.7814033031463623,SubjectiveLit,train-None
f2_r1339,-1.3224139213562012,SubjectiveLit,train-None
f3_r849,-0.8902585506439209,SubjectiveLit,train-None
f3_r240,-0.6982762813568115,SubjectiveLit,train-None
f3_r1504,12.489500999450684,SubjectiveLit,train-None
f3_r763,-3.4341254234313965,SubjectiveLit,train-None
f4_r956,-7.064361095428467,SubjectiveLit,train-None
f5_r501,5.120409965515137,SubjectiveLit,train-None
f5_r1413,3.758387327194214,SubjectiveLit,train-None
f5_r1204,1.413832187652588,SubjectiveLit,train-None
