ID,irt_difficulty,score_var,split
f3_r392,-0.15879324078559875,Anxiety,train-Constant
f3_r199,-16.77041244506836,Anxiety,train-Constant
f3_r506,-3.8351707458496094,Anxiety,train-Constant
f2_r135,-1.7277469635009766,Anxiety,train-Constant
f3_r294,3.6511170864105225,Anxiety,train-Constant
f2_r292,-15.17663860321045,Anxiety,train-Constant
f4_r568,-0.613938570022583,Anxiety,train-Constant
f5_r1113,-5.4086012840271,Anxiety,train-Constant
f4_r1000,0.6483653783798218,Anxiety,train-Constant
f5_r301,-9.131162643432617,Anxiety,train-Constant
f2_r1564,-1.8139346837997437,Anxiety,train-Constant
f2_r1308,-6.1774139404296875,Anxiety,train-Constant
f4_r1293,3.156489133834839,Anxiety,train-Constant
f3_r1322,2.062882423400879,Anxiety,train-Constant
f3_r471,7.416411399841309,Anxiety,train-Constant
f2_r596,3.057098627090454,Anxiety,train-Constant
f3_r1670,2.881118059158325,Anxiety,train-Constant
f5_r45,5.42907190322876,Anxiety,train-Constant
f2_r1534,3.8011434078216553,Anxiety,train-Constant
f5_r1631,4.111612796783447,Anxiety,train-Constant
f2_r863,2.5756969451904297,Anxiety,train-Constant
f2_r68,-6.497278690338135,Anxiety,train-Constant
f4_r787,-2.5071825981140137,Anxiety,train-Constant
f3_r554,-5.78445291519165,Anxiety,train-Constant
f3_r1251,-2.376884698867798,Anxiety,train-Constant
f4_r312,-9.351780891418457,Anxiety,train-Constant
f5_r963,4.344570636749268,Anxiety,train-Constant
f4_r1012,1.5541924238204956,Anxiety,train-Constant
f5_r460,3.633354425430298,Anxiety,train-Constant
f4_r1475,-10.156610488891602,Anxiety,train-Constant
f3_r462,0.7080674767494202,Anxiety,train-Constant
f2_r49,-5.265109062194824,Anxiety,train-Constant
f3_r1299,1.2665958404541016,Anxiety,train-Constant
f4_r261,-5.730043888092041,Anxiety,train-Constant
f3_r853,-3.3685433864593506,Anxiety,train-Constant
f2_r1160,-4.380189895629883,Anxiety,train-Constant
f5_r664,5.001444339752197,Anxiety,train-Constant
f2_r1372,5.248108863830566,Anxiety,train-Constant
f4_r19,1.7083241939544678,Anxiety,train-Constant
f4_r1330,7.075325965881348,Anxiety,train-Constant
f3_r1488,1.8024389743804932,Anxiety,train-Constant
f2_r1133,0.45324620604515076,Anxiety,train-Constant
f5_r1609,2.123220920562744,Anxiety,train-Constant
f3_r69,1.250712513923645,Anxiety,train-Constant
f4_r868,2.1286656856536865,Anxiety,train-Constant
f2_r1413,2.3684937953948975,Anxiety,train-Constant
f4_r1401,-2.2199954986572266,Anxiety,train-Constant
f2_r652,1.1250859498977661,Anxiety,train-Constant
