ID,irt_difficulty,score_var,split
f4_r656,-6.610764503479004,TrustPhys,train-Constant
f2_r963,-8.990110397338867,TrustPhys,train-Constant
f4_r855,-9.41617202758789,TrustPhys,train-Constant
f5_r1443,4.718390941619873,TrustPhys,train-Constant
f5_r974,0.49930909276008606,TrustPhys,train-Constant
f3_r1469,-10.258919715881348,TrustPhys,train-Constant
f4_r833,-3.6361243724823,TrustPhys,train-Constant
f2_r1414,-0.6635122299194336,TrustPhys,train-Constant
f2_r1437,-0.33989986777305603,TrustPhys,train-Constant
f4_r763,3.9888222217559814,TrustPhys,train-Constant
f2_r374,-8.93718433380127,TrustPhys,train-Constant
f2_r806,-2.785404920578003,TrustPhys,train-Constant
f4_r1128,-4.486234664916992,TrustPhys,train-Constant
f4_r858,-1.081500768661499,TrustPhys,train-Constant
f4_r1427,8.526071548461914,TrustPhys,train-Constant
f5_r316,-8.476402282714844,TrustPhys,train-Constant
f4_r628,-1.4802672863006592,TrustPhys,train-Constant
f3_r116,4.877267837524414,TrustPhys,train-Constant
f5_r1025,-3.3215832710266113,TrustPhys,train-Constant
f3_r1422,-6.88254976272583,TrustPhys,train-Constant
f3_r1421,2.233529806137085,TrustPhys,train-Constant
f2_r1212,-3.4089195728302,TrustPhys,train-Constant
f2_r1082,-3.1724624633789062,TrustPhys,train-Constant
f5_r475,-2.271505117416382,TrustPhys,train-Constant
f3_r1501,-2.0945799350738525,TrustPhys,train-Constant
f4_r1533,-1.4569525718688965,TrustPhys,train-Constant
f5_r756,-3.981687307357788,TrustPhys,train-Constant
f4_r162,2.425642490386963,TrustPhys,train-Constant
f5_r1332,4.644071102142334,TrustPhys,train-Constant
f2_r897,-9.21705436706543,TrustPhys,train-Constant
f4_r712,-7.122899055480957,TrustPhys,train-Constant
f5_r698,-1.5723010301589966,TrustPhys,train-Constant
f2_r435,-6.399620056152344,TrustPhys,train-Constant
f3_r653,0.06576532870531082,TrustPhys,train-Constant
f2_r795,-6.034024238586426,TrustPhys,train-Constant
f2_r115,-5.300526142120361,TrustPhys,train-Constant
f4_r416,-3.919224500656128,TrustPhys,train-Constant
f4_r943,-6.927164554595947,TrustPhys,train-Constant
f2_r716,-10.102738380432129,TrustPhys,train-Constant
f4_r936,2.656769037246704,TrustPhys,train-Constant
f2_r450,6.272744178771973,TrustPhys,train-Constant
f4_r804,2.23667573928833,TrustPhys,train-Constant
f4_r508,-4.9513020515441895,TrustPhys,train-Constant
f2_r1349,2.1736626625061035,TrustPhys,train-Constant
f5_r306,-1.232496976852417,TrustPhys,train-Constant
f5_r44,-2.732361316680908,TrustPhys,train-Constant
f5_r99,2.3588979244232178,TrustPhys,train-Constant
f2_r640,3.8356950283050537,TrustPhys,train-Constant
f3_r1633,-12.253190994262695,TrustPhys,train-Constant
f4_r970,4.49276876449585,TrustPhys,train-Constant
f4_r1324,-11.39304256439209,TrustPhys,train-Constant
f4_r708,2.995018720626831,TrustPhys,train-Constant
f2_r551,3.101848602294922,TrustPhys,train-Constant
f3_r426,4.526647567749023,TrustPhys,train-Constant
f3_r691,0.39474794268608093,TrustPhys,train-Constant
f4_r670,1.6980955600738525,TrustPhys,train-Constant
f3_r750,-2.184926986694336,TrustPhys,train-Constant
f2_r308,-10.19223403930664,TrustPhys,train-Constant
f2_r1177,2.910809278488159,TrustPhys,train-Constant
f3_r372,-1.538030743598938,TrustPhys,train-Constant
f4_r504,0.663873553276062,TrustPhys,train-Constant
f2_r1011,0.6385155916213989,TrustPhys,train-Constant
f2_r1376,-3.3572192192077637,TrustPhys,train-Constant
f5_r594,-6.921682357788086,TrustPhys,train-Constant
f3_r392,-3.0540781021118164,TrustPhys,train-Constant
f5_r465,6.006290912628174,TrustPhys,train-Constant
f4_r150,-8.041719436645508,TrustPhys,train-Constant
f2_r305,7.865406036376953,TrustPhys,train-Constant
f3_r199,4.626941204071045,TrustPhys,train-Constant
f3_r506,-3.8214147090911865,TrustPhys,train-Constant
f4_r541,1.3627222776412964,TrustPhys,train-Constant
f2_r135,-3.8913257122039795,TrustPhys,train-Constant
f4_r401,4.115330696105957,TrustPhys,train-Constant
f2_r1008,-10.958456039428711,TrustPhys,train-Constant
