,hard_ids,rand_ids
0,f3_r1378,f3_r1143
1,f5_r68,f3_r707
2,f3_r965,f2_r890
3,f5_r633,f4_r961
4,f2_r832,f2_r881
5,f2_r1196,f3_r789
6,f4_r1293,f3_r511
7,f5_r1352,f3_r34
8,f4_r1434,f5_r1360
9,f2_r1008,f4_r268
10,f5_r332,f5_r994
11,f2_r1667,f5_r561
12,f3_r152,f4_r608
13,f3_r795,f3_r1512
14,f2_r1122,f5_r1071
15,f2_r1462,f2_r1527
16,f4_r1567,f5_r320
17,f4_r401,f5_r377
18,f4_r973,f2_r1533
19,f3_r759,f4_r1083
20,f2_r321,f5_r885
21,f3_r1615,f2_r273
22,f2_r1649,f5_r1462
23,f5_r30,f3_r690
24,f2_r479,f5_r1271
25,f5_r1058,f3_r1494
26,f4_r1396,f4_r1310
27,f4_r654,f5_r922
28,f3_r1272,f4_r1280
29,f5_r1034,f5_r937
30,f3_r539,f2_r578
31,f4_r1641,f3_r56
32,f2_r1285,f4_r1338
33,f5_r784,f2_r969
34,f3_r455,f5_r1436
35,f5_r626,f3_r816
36,f2_r896,f2_r1675
37,f4_r353,f3_r1607
38,f2_r398,f4_r256
39,f3_r1279,f3_r26
40,f2_r1147,f3_r1052
41,f5_r1387,f3_r936
42,f3_r1379,f3_r660
43,f5_r1196,f5_r419
44,f2_r45,f4_r1098
45,f4_r1401,f2_r639
46,f4_r539,f3_r924
47,f4_r1680,f4_r83
48,f3_r974,f2_r720
49,f5_r275,f5_r1130
50,f3_r983,f2_r43
51,f4_r961,f2_r79
52,f2_r699,f5_r1413
53,f3_r771,f3_r1371
54,f2_r847,f4_r581
55,f4_r139,f2_r808
56,f3_r1438,f5_r1530
57,f3_r66,f4_r319
58,f5_r1382,f4_r798
59,f3_r11,f4_r1190
60,f5_r1609,f5_r812
61,f2_r801,f5_r685
62,f2_r569,f4_r1371
63,f3_r1182,f3_r250
64,f3_r1010,f3_r190
65,f4_r382,f3_r412
66,f4_r971,f3_r616
67,f3_r670,f3_r1235
68,f5_r1601,f5_r1069
69,f3_r629,f2_r130
70,f2_r445,f5_r1677
71,f5_r1668,f2_r310
72,f2_r263,f4_r1611
73,f5_r831,f4_r1093
74,f5_r307,f4_r85
75,f2_r1587,f2_r1183
76,f4_r693,f2_r1600
77,f2_r1089,f2_r1150
78,f4_r1106,f2_r363
79,f3_r617,f4_r203
80,f3_r1071,f4_r1163
81,f3_r1175,f5_r544
82,f5_r109,f5_r304
83,f2_r936,f3_r1566
84,f4_r1635,f5_r714
85,f4_r690,f2_r371
86,f4_r1277,f2_r1239
87,f3_r789,f4_r1635
88,f3_r150,f5_r789
89,f3_r1235,f2_r1233
90,f4_r865,f3_r905
91,f2_r961,f4_r1092
92,f5_r64,f2_r583
93,f5_r234,f2_r801
94,f3_r769,f3_r1324
95,f3_r891,f4_r81
96,f5_r1217,f5_r273
97,f2_r389,f4_r645
98,f3_r854,f5_r518
99,f5_r1074,f4_r854
100,f4_r249,f3_r752
101,f2_r1243,f2_r1484
102,f5_r647,f4_r1277
103,f4_r993,f3_r1019
104,f5_r1518,f3_r167
105,f3_r26,f3_r1085
106,f2_r1093,f5_r985
107,f5_r1425,f5_r949
108,f4_r1074,f4_r1254
109,f2_r338,f2_r573
110,f2_r875,f4_r589
111,f5_r923,f5_r1359
112,f2_r911,f2_r674
113,f4_r81,f2_r565
114,f3_r1401,f4_r1673
115,f2_r55,f2_r1402
